nombre,L,c,area_entrada,area_salida,ganancia_espectral,freqs,S_L,L0,T_axial,tipo
cuerda3,5.163497434964554,991.9368861826342,1458082.978576397,1371679611.02309,940.7418035716544,"[0.00000000e+00 9.99998818e-02 1.99999764e-01 ... 1.69690799e+04
 1.69691799e+04 1.69692799e+04]",[1.05818527 1.05818577 1.05818728 ... 0.44975381 0.44975381 0.44975381],5,2.0,mejor
cuerda1,5.229648799888745,118.37853528637496,319.9223113555962,23340.842117797605,72.95784410563999,"[0.00000000e+00 9.99983395e-02 1.99996679e-01 ... 1.99926680e+03
 1.99936680e+03 1.99946680e+03]","[2.26773021e-03 2.27248077e-03 2.24936666e-03 ... 7.06365206e-06
 7.06364863e-06 7.06364691e-06]",5,2.0,peor
cuerda4,5.849883996574735,540.4095175596425,87023.60304099479,30074400.28391671,345.589003821749,"[0.00000000e+00 9.99998966e-02 1.99999793e-01 ... 8.15999157e+03
 8.16009157e+03 8.16019157e+03]",[0.14352574 0.14368495 0.14378269 ... 0.01836198 0.01836198 0.01836198],5,3.0,medio
cuerda3,5.245246152446831,999.7582448350493,1409407.412074571,1313126535.4018798,931.6869800400927,"[0.00000000e+00 9.99998493e-02 1.99999699e-01 ... 1.68363746e+04
 1.68364746e+04 1.68365746e+04]",[1.9843714  1.98437259 1.98437616 ... 0.09108863 0.09108863 0.09108863],5,3.0,mejor
cuerda1,5.344473199833115,119.67106379174233,303.2879566407871,26741.292671991367,88.17129756215026,"[0.00000000e+00 9.99985167e-02 1.99997033e-01 ... 1.97767067e+03
 1.97777066e+03 1.97787066e+03]","[2.39665827e-03 2.40855144e-03 2.40502021e-03 ... 2.46802517e-05
 2.46802519e-05 2.46802520e-05]",5,3.0,peor
cuerda4,6.133178662099646,553.3401329334836,81070.29829635064,28523858.14522274,351.84104098093263,"[0.00000000e+00 9.99993952e-02 1.99998790e-01 ... 7.96925181e+03
 7.96935180e+03 7.96945180e+03]",[0.6537997  0.65369827 0.6536852  ... 0.01624974 0.01624974 0.01624974],5,4.0,medio
cuerda3,5.326994869929108,1007.5188881909936,1363698.644892095,1257719997.3774424,922.285874587022,"[0.00000000e+00 9.99999227e-02 1.99999845e-01 ... 1.67066871e+04
 1.67067871e+04 1.67068871e+04]","[2.08619530e-01 2.08620030e-01 2.08621530e-01 ... 1.20655728e-05
 1.20654356e-05 1.20653899e-05]",5,4.0,mejor
cuerda1,5.459297599777488,120.94978049400088,289.17232424167946,22548.713058613168,77.97673279330768,"[0.00000000e+00 9.99979307e-02 1.99995861e-01 ... 1.95675951e+03
 1.95685951e+03 1.95695950e+03]","[1.19033799e-03 1.19587803e-03 1.18677003e-03 ... 5.85744145e-06
 5.85744160e-06 5.85744168e-06]",5,4.0,peor
cuerda4,6.416473327624559,565.9754047311995,75655.03573003394,24469334.641880125,323.4329930025551,"[0.00000000e+00 9.99998010e-02 1.99999602e-01 ... 7.79138449e+03
 7.79148449e+03 7.79158449e+03]",[0.85167252 0.85192914 0.85185487 ... 0.07848096 0.07848096 0.07848096],5,5.0,medio
cuerda5,5.33210416477175,1001.7331084671488,1325761.5661975136,1211576974.2273915,913.8724527234403,"[0.00000000e+00 9.99998750e-02 1.99999750e-01 ... 1.65947793e+04
 1.65948793e+04 1.65949793e+04]",[3.4914426 3.4914428 3.4914434 ... 0.2058376 0.2058376 0.2058376],5,5.0,mejor
cuerda1,5.574121999721859,122.21511892579711,277.85304811985515,20030.079741573227,72.08875294732422,"[0.00000000e+00 9.99998894e-02 1.99999779e-01 ... 1.93649786e+03
 1.93659786e+03 1.93669786e+03]","[6.47378144e-04 6.46875204e-04 6.45071469e-04 ... 8.85834647e-05
 8.85834432e-05 8.85834324e-05]",5,5.0,peor
cuerda4,6.69976799314947,578.3346909934115,70543.59235825262,21688995.488599986,307.4552168884929,"[0.00000000e+00 9.99996675e-02 1.99999335e-01 ... 7.62487464e+03
 7.62497464e+03 7.62507464e+03]",[0.06404053 0.06393539 0.06400817 ... 0.00290049 0.00290049 0.00290049],5,6.0,medio
cuerda5,5.398524997726099,1007.9529815363989,1292176.233098948,1170375520.3645737,905.7398599243176,"[0.00000000e+00 9.99998466e-02 1.99999693e-01 ... 1.64923747e+04
 1.64924747e+04 1.64925747e+04]","[6.85743919e-01 6.85744461e-01 6.85746085e-01 ... 2.83200118e-05
 2.83199889e-05 2.83199775e-05]",5,6.0,mejor
cuerda1,5.688946399666231,123.46749040353284,268.7348286716302,19650.035598576145,73.12053929037505,"[0.00000000e+00 9.99975372e-02 1.99995074e-01 ... 1.91685279e+03
 1.91695279e+03 1.91705279e+03]",[0.00192661 0.00192209 0.00193261 ... 0.0008003  0.0008003  0.0008003 ],5,6.0,peor
cuerda4,6.983062658674381,590.4353231745578,65629.79301322027,20929385.532628868,318.9006786660582,"[0.00000000e+00 9.99993724e-02 1.99998745e-01 ... 7.46855313e+03
 7.46865313e+03 7.46875313e+03]",[0.03871556 0.03875891 0.038711   ... 0.0213467  0.0213467  0.0213467 ],5,7.0,medio
